question,answer,explanation,evidence_KG,hop,target_protein_id,interaction_count
"In muscle cells, the troponin complex (TnC, TnI, TnT) regulates actin-myosin interaction. A mutation in Troponin I (P62736) weakens its binding to Troponin C (ChEBI:30616). Simultaneously, a drug blocks Troponin C's interaction with Troponin T (P63267). If calcium levels rise, what is the most likely outcome on muscle contraction, and why?",No Contraction,"1. Calcium binding to TnC (ChEBI:30616) normally induces a conformational change. 2. This allows TnC to bind TnI (P62736), relieving TnI's inhibition of actin-myosin. 3. TnT (P63267) anchors the complex to tropomyosin. 4. The TnI mutation weakens TnC-TnI binding, preventing inhibition release. 5. The drug blocks TnC-TnT interaction, destabilizing the complex. 6. Both defects disrupt the complex's AND-gate function: even with calcium, neither structural stability (via TnT) nor inhibition release (via TnI) occurs, so contraction fails.","[""(Calcium, binds_to, ChEBI:30616)"", ""(ChEBI:30616, interacts_with, P62736)"", ""(ChEBI:30616, interacts_with, P63267)"", ""(P62736_mutant, weakens_interaction_with, ChEBI:30616)"", ""(Drug, blocks, ChEBI:30616–P63267_interaction)""]",5,ChEBI:30616,5253
"In a signaling pathway, the target protein ChEBI:37565 (GTP) is required for the activation of several G-proteins including Gαs (P38405) and Gαi (A8MTJ3). A mutation in Gαs prevents its interaction with GTP, while Gαi remains wild-type and functional. If both Gαs and Gαi are present in the same complex, what is the net effect on adenylyl cyclase (ADCY) activity and cAMP levels?",Decreased cAMP levels,"1. GTP (ChEBI:37565) is essential for the activation of both Gαs and Gαi. 2. Gαs stimulates adenylyl cyclase (ADCY), increasing cAMP production. 3. Gαi inhibits ADCY, reducing cAMP production. 4. The mutation in Gαs prevents its activation by GTP, so it cannot stimulate ADCY. 5. Gαi remains functional and can bind GTP, activating its inhibitory signal on ADCY. 6. Without Gαs activation to counteract Gαi, the net effect is inhibition of ADCY and decreased cAMP levels.","[""(GTP, activates, Gαs)"", ""(Gαs, stimulates, ADCY)"", ""(GTP, activates, Gαi)"", ""(Gαi, inhibits, ADCY)"", ""(Gαs_mutant, cannot_bind, GTP)""]",5,ChEBI:37565,2981
"Protein PPARG (P37231) forms a heterodimer with RXRA (P19793) to bind DNA and regulate transcription. In adipocytes, both PPARG and RXRA are expressed. If a mutation in RXRA prevents its dimerization with PPARG, but a synthetic ligand for PPARG (such as Rosiglitazone) is administered, what is the expected effect on PPARG-mediated gene expression? Explain using the concepts of complex formation and ligand activation.",No significant activation,"1. PPARG requires heterodimer formation with RXRA to effectively bind DNA and activate transcription. 2. The RXRA mutation disrupts dimerization, preventing the formation of a functional PPARG-RXRA complex. 3. While the PPARG ligand (Rosiglitazone) can activate PPARG conformationally, it cannot compensate for the lack of dimerization with RXRA. 4. Without the heterodimer partner, PPARG cannot engage with the DNA response elements, rendering ligand binding ineffective for transcriptional activation.","[""(PPARG, heterodimerizes_with, RXRA)"", ""(PPARG:RXRA_heterodimer, binds, DNA_response_element)"", ""(PPARG:RXRA_heterodimer, activates_transcription, target_genes)"", ""(Rosiglitazone, binds_activates, PPARG)"", ""(RXRA_mutant, disrupts_dimerization, PPARG)""]",5,uniprotkb:P37231,2414
"Protein GRB2 (P62805) is a key adaptor in EGFR signaling. It binds EGFR via its SH2 domain and recruits SOS1 to activate RAS. In a cell line expressing EGFR, GRB2, SOS1, and RAS, a mutation in GRB2 disrupts its SH2 domain, impairing EGFR binding. However, overexpression of a constitutively active RAS mutant (G12V) restores downstream MAPK activation. What does this imply about the position of RAS in the signaling cascade, and why does the rescue occur?",RAS acts downstream of GRB2 and can bypass the blockade,"1. EGFR activation recruits GRB2 via SH2 domain binding. 2. GRB2 recruits SOS1, which activates RAS by exchanging GDP for GTP. 3. Active RAS then triggers the MAPK cascade. 4. The GRB2 SH2 mutation prevents EGFR binding, blocking upstream signal transmission. 5. Without GRB2 recruitment, SOS1 is not activated, and RAS remains inactive. 6. The constitutively active RAS mutant (G12V) is GTP-bound and signal-independent. 7. Overexpression of RAS-G12V directly activates the MAPK pathway, bypassing the GRB2 blockade and placing RAS downstream of GRB2.","[""(EGFR, activates, GRB2)"", ""(GRB2, recruits, SOS1)"", ""(SOS1, activates, RAS)"", ""(RAS, activates, MAPK_cascade)"", ""(GRB2_mutant, impairs, EGFR_binding)"", ""(RAS-G12V, bypasses, GRB2_requirement)""]",6,uniprotkb:P62805,1727
"In a signaling pathway, GRB2 (uniprotkb:P62993) forms a complex with SOS1 (uniprotkb:Q13480) and GAB2 (uniprotkb:Q9UQC2) to activate RAS. A mutation in GAB2 disrupts its interaction with GRB2, while SOS1 remains wild-type. Simultaneously, a drug inhibits the GRB2-SOS1 interaction. What is the net effect on RAS activation, and why?",Complete loss of RAS activation,"1. GRB2 requires both SOS1 and GAB2 to form a functional complex that activates RAS (AND-gate logic). 2. The GAB2 mutation prevents GRB2-GAB2 interaction, disrupting complex assembly. 3. The drug blocks GRB2-SOS1 interaction, further preventing SOS1 incorporation. 4. Without both partners, the complex cannot form, leading to total failure of RAS activation. This reflects a bottleneck constraint where all subunits are essential.","[""(GRB2, interacts_with, SOS1)"", ""(GRB2, interacts_with, GAB2)"", ""(GRB2:SOS1:GAB2_complex, activates, RAS)""]",3,uniprotkb:P62993,1674
"The protein SETD2 (Uniprot: P84243) acts as a methyltransferase. It interacts with H3K36me3 (R-HSA-5649949) in the context of chromatin modification (R-HSA-9859191). In a cell line where SETD2 is mutated (loss-of-function), researchers observe a significant decrease in H3K36me3 levels. When they overexpress a catalytically dead SETD2 mutant (SETD2-CD), H3K36me3 levels drop further compared to the SETD2-null condition. What does this indicate about SETD2's role in H3K36me3 regulation, and why does the catalytically dead mutant exacerbate the phenotype?",Dominant Negative effect due to sequestration,"1. Wild-type SETD2 methylates histone H3 at lysine 36 (H3K36), producing H3K36me3. 2. A loss-of-function mutation in SETD2 reduces H3K36me3 levels due to lack of methylation. 3. Overexpression of a catalytically dead SETD2 mutant (SETD2-CD) further reduces H3K36me3 levels because it competes with residual wild-type SETD2 or other methyltransferases for binding to histone substrates or cofactors. 4. The SETD-CD mutant occupies binding sites without performing catalysis, effectively sequestering resources and acting as a dominant negative poison subunit.","[""(SETD2, methylates, H3K36)"", ""(SETD2, produces, H3K36me3)"", ""(SETD2_mutant, loss_of_function, SETD2)"", ""(SETD2-CD, catalytically_dead, SETD2)"", ""(SETD2-CD, competes_with, SETD2)"", ""(SETD2-CD, sequesters, histone_substrate)""]",6,uniprotkb:P84243,1416
"In a neuronal signaling pathway, the Target Protein (uniprotkb:P68431) forms a complex with KIF5A (Q13263), KIF5B (Q6VMQ6), and KIF5C (Q15047) to transport cargo along microtubules. If a mutation in KIF5B weakens its interaction with the Target Protein, but KIF5A and KIF5C remain functional, what is the net effect on cargo transport efficiency? Why?",Significantly Reduced Efficiency,"1. The Target Protein requires formation of a heterotrimeric complex with KIF5A, KIF5B, and KIF5C for proper motor function (Bottleneck/AND-gate logic). 2. Each kinesin subunit is essential for structural integrity and force generation. 3. The KIF5B mutation impairs its binding to the Target Protein, destabilizing the complex. 4. Even with functional KIF5A and KIF5C, the defective subunit acts as a Dominant Negative by preventing full assembly or causing misfolding. 5. Thus, transport efficiency drops significantly due to incomplete complex formation.","[""(Target_P68431, forms_complex_with, KIF5A_Q13263)"", ""(Target_P68431, forms_complex_with, KIF5B_Q6VMQ6)"", ""(Target_P68431, forms_complex_with, KIF5C_Q15047)"", ""(KIF5B_mutant, weakens_interaction_with, Target_P68431)""]",4,uniprotkb:P68431,1384
"The histone deacetylase complex containing HDAC1 (Q71DI3) interacts with multiple partners including SETDB1 (Q15047) and MBD2 (Q9UBB5). In a cell line where SETDB1 is knocked out and MBD2 carries a gain-of-function mutation that enhances its binding to methylated DNA, but HDAC1 has a mutation that disrupts its interaction with SETDB1, what is the net effect on histone deacetylation at target genes?",Reduced deacetylation despite enhanced MBD2 binding,"1. HDAC1 requires interaction with SETDB1 for proper recruitment to methylated histone regions. 2. MBD2 binds methylated DNA and can recruit HDAC complexes indirectly. 3. SETDB1 knockout removes a key recruitment factor for HDAC1. 4. The HDAC1 mutation further disrupts SETDB1-dependent recruitment. 5. MBD2's gain-of-function enhances DNA binding but cannot compensate for disrupted SETDB1-HDAC1 interaction. 6. Therefore, HDAC1 recruitment and histone deacetylation are impaired despite stronger MBD2 binding.","[""(HDAC1, interacts_with, SETDB1)"", ""(SETDB1, recruits, HDAC1)"", ""(MBD2, binds, methylated_DNA)"", ""(MBD2, indirectly_recruits, HDAC_complex)"", ""(SETDB1_knockout, removes, SETDB1)"", ""(HDAC1_mutant, disrupts_interaction_with, SETDB1)"", ""(MBD2_gain-of-function, enhances_binding, methylated_DNA)""]",6,uniprotkb:Q71DI3,1378
"In a cell expressing PAC1, the target protein (uniprotkb:P19793) interacts with multiple partners in the Reactome pathways R-HSA-9024349 and R-HSA-9024330. If PAC1 activation leads to cAMP production via ADCY7, but a mutation in the target protein prevents its interaction with Gs (G-protein subunit alpha-s), what is the expected effect on downstream signaling through PKA?",Reduced PKA activation,"1. PAC1 activation stimulates Gs, which activates ADCY7 to produce cAMP. 2. cAMP activates PKA. 3. The target protein (uniprotkb:P19793) interacts with partners in pathways that modulate GPCR signaling. 4. A mutation preventing target-Gs interaction disrupts Gs activation. 5. Without Gs activation, ADCY7 cannot produce sufficient cAMP. 6. Reduced cAMP leads to diminished PKA activation.","[""(PAC1, activates, Gs)"", ""(Gs, activates, ADCY7)"", ""(ADCY7, produces, cAMP)"", ""(cAMP, activates, PKA)"", ""(Target_mutant, prevents_interaction, Gs)""]",5,uniprotkb:P19793,1246
"The target protein is Insulin (ChEBI:29108). It interacts with the Insulin Receptor (INSR, uniprotkb:P01308) in multiple pathways including glucose regulation. Suppose a mutation in INSR prevents its activation by Insulin, but a downstream component like IRS1 (uniprotkb:P35568) is overexpressed. However, IRS1 requires phosphorylation by activated INSR to propagate the signal. What is the expected effect on glucose uptake, and why?",Reduced Glucose Uptake,"1. Insulin binds and activates INSR. 2. Activated INSR phosphorylates IRS1. 3. Phosphorylated IRS1 propagates the signal leading to glucose uptake. 4. The INSR mutation prevents activation, so no phosphorylation of IRS1 occurs. 5. Overexpression of IRS1 does not compensate because IRS1 still requires phosphorylation by INSR to function (AND-gate bottleneck). 6. Without functional IRS1 signaling, glucose uptake remains impaired.","[""(Insulin, activates, INSR)"", ""(INSR, phosphorylates, IRS1)"", ""(IRS1_phosphorylated, propagates_signal, Glucose_Uptake)"", ""(INSR_mutant, inactive, even_with_Insulin)"", ""(Overexpressed_IRS1, cannot_bypass, INSR_requirement)""]",5,ChEBI:29108,1230
